name,pref,city,district,latitude,longitude,relation_point_default
伊敷小学校,鹿児島県,鹿児島市,伊敷５丁目,31.627181,130.527559,48379.9473163193
上伊豆島小学校,福島県,郡山市,熱海町上伊豆島字上町,37.454707,140.295263,9232.02159607107
伊敷台小学校,鹿児島県,鹿児島市,伊敷台４丁目,31.631261,130.538837,49577.441249484
赤木小学校,福島県,郡山市,赤木町,37.404992,140.381645,53288.4362682299
一倉小学校,鹿児島県,鹿児島市,喜入一倉町,31.351345,130.522683,3600.6223753711
多田野小学校,福島県,郡山市,逢瀬町多田野字宮南,37.395824,140.272767,9743.82028935722
宇宿小学校,鹿児島県,鹿児島市,宇宿４丁目,31.545769,130.53606,75695.4953934071
多田野小学校堀口分校,福島県,郡山市,逢瀬町多田野字古川林,37.412488,140.234714,6381.28177209384
花尾小学校,鹿児島県,鹿児島市,花尾町,31.704994,130.492646,7031.53709598536
大成小学校,福島県,郡山市,鳴神２丁目,37.393604,140.338038,61540.6073169733
花野小学校,鹿児島県,鹿児島市,花野光ヶ丘１丁目,31.647287,130.52939,31374.2907267722
大槻小学校,福島県,郡山市,大槻町字城ノ内,37.390825,140.31693,35400.1106618238
改新小学校（休校中）,鹿児島県,鹿児島市,古里町,31.550992,130.649773,6989.55216416345
大田小学校,福島県,郡山市,西田町大田字中野内,37.444713,140.464692,11581.3186358791
皆与志小学校,鹿児島県,鹿児島市,皆与志町,31.67084,130.518918,13038.9240623052
大島小学校,福島県,郡山市,並木４丁目,37.410824,140.357202,59449.5051088876
鴨池小学校,鹿児島県,鹿児島市,真砂本町,31.554657,130.552725,57232.6830292455
谷田川小学校,福島県,郡山市,田村町谷田川字表前,37.311671,140.449977,8795.53859681088
喜入小学校,鹿児島県,鹿児島市,喜入町,31.374779,130.541138,5019.29411669199
朝日が丘小学校,福島県,郡山市,御前南４丁目,37.382771,140.331095,41350.8116400558
吉田小学校,鹿児島県,鹿児島市,東佐多町,31.737253,130.568645,8089.67586108942
田母神小学校,福島県,郡山市,田村町田母神字宮ノ前,37.296675,140.537748,5072.32986403631
吉野小学校,鹿児島県,鹿児島市,吉野町,31.638288,130.565499,41628.4570936189
東芳小学校,福島県,郡山市,阿久津町字久保,37.403049,140.413309,24153.8116038651
吉野東小学校,鹿児島県,鹿児島市,吉野町,31.648287,130.586414,32189.9937283349
桃見台小学校,福島県,郡山市,桃見台,37.40527,140.369423,60661.3728295768
宮小学校,鹿児島県,鹿児島市,宮之浦町,31.676656,130.565054,15258.1092666004
栃山神小学校,福島県,郡山市,田村町栃山神字東,37.322782,140.488862,6375.33488703793
宮川小学校,鹿児島県,鹿児島市,皇徳寺台４丁目,31.563573,130.484176,29927.6778489413
日和田小学校,福島県,郡山市,日和田町字原町,37.447211,140.393865,20515.2534635098
玉江小学校,鹿児島県,鹿児島市,下伊敷１丁目,31.612484,130.534252,62932.6218700237
熱海小学校,福島県,郡山市,熱海町高玉字樋口,37.490813,140.276929,8100.82921854765
錦江台小学校,鹿児島県,鹿児島市,錦江台３丁目,31.499912,130.49426,30576.3655327303
熱海小学校石筵分校,福島県,郡山市,熱海町石筵字下水上,37.530253,140.264151,5215.25062292279
郡山小学校,鹿児島県,鹿児島市,西俣町,31.680647,130.467892,9291.14392346003
白岩小学校,福島県,郡山市,白岩町字堺の内,37.410827,140.431086,18014.7057012928
犬迫小学校,鹿児島県,鹿児島市,犬迫町,31.629982,130.49645,18034.8711620573
富田小学校,福島県,郡山市,富田町字弁天下,37.422229,140.347038,47888.5171541977
原良小学校,鹿児島県,鹿児島市,原良２丁目,31.597481267021205,130.534755928299,76558.5719926281
富田西小学校,福島県,郡山市,富田町字上鶴蒔田,37.416934,140.336093,37642.6321976858
向陽小学校,鹿児島県,鹿児島市,向陽１丁目,31.559045,130.515867,78231.604975347
富田東小学校,福島県,郡山市,富田町字天神林,37.423601,140.358591,52047.359851324
広木小学校,鹿児島県,鹿児島市,広木１丁目,31.564961,130.52145,78231.604975347
片平小学校,福島県,郡山市,片平町字福内,37.426932,140.304985,15460.7506735581
皇徳寺小学校,鹿児島県,鹿児島市,皇徳寺台２丁目,31.556935,130.49287,45112.4911841406
穂積小学校,福島県,郡山市,三穂田町八幡字粧坂,37.363605,140.287767,12518.7041822262
荒田小学校,鹿児島県,鹿児島市,荒田１丁目,31.575933,130.548475,94113.1378950585
芳賀小学校,福島県,郡山市,芳賀２丁目,37.389995,140.3997,41251.0828584281
高免小学校（休校中）,鹿児島県,鹿児島市,桜島白浜町,31.621153,130.683546,5483.28388604307
芳山小学校,福島県,郡山市,長者２丁目,37.401381,140.371368,60661.3728295768
黒神小学校,鹿児島県,鹿児島市,高免町,31.592545,130.708072,4382.58860980218
